cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1952000,3.744,4.048,4.048,4.256,0.000,0.000
1954000,4.160,3.984,4.032,4.128,0.000,0.000
1956000,4.112,4.048,4.128,3.984,0.000,0.000
1958000,3.952,4.016,3.936,4.032,0.000,0.000
1960000,4.176,4.096,4.176,4.128,0.000,0.000
1962000,3.904,3.968,4.096,3.984,0.000,0.000
1964000,4.304,4.096,3.952,4.144,0.000,0.000
1966000,3.856,4.320,4.048,3.936,0.000,0.000
1968000,4.240,3.808,4.176,4.224,0.000,0.000
1970000,3.936,4.224,3.952,3.792,0.000,0.000
1972000,4.080,4.096,4.192,4.336,0.000,0.000
